route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
E,61,E_61_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_1020,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,3,E_3_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,5,E_5_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_1050,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,61,E_61_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_1120,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,3,E_3_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,5,E_5_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_1150,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,61,E_61_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_1230,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,3,E_3_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,5,E_5_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_1300,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,61,E_61_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_1330,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,3,E_3_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,5,E_5_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,61,E_61_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,62,E_62_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,11,E_11_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,13,E_13_inbound_1400,Inbound to UCD MU,1,23,E_inbound_New2021
E,1,E_1_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,3,E_3_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,5,E_5_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,61,E_61_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,62,E_62_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,11,E_11_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,13,E_13_inbound_1430,Inbound to UCD MU,1,24,E_inbound_New2021
E,1,E_1_inbound_1500,Inbound to UCD MU,1,23,E_inbound_New2021
